[epoch 1][175/2188] loss: 0.0000 PSNR_train: 24.6020 SSIM_train: 0.6247
[epoch 1][176/2188] loss: 0.0000 PSNR_train: 24.1667 SSIM_train: 0.6091
[epoch 1][177/2188] loss: 0.0000 PSNR_train: 24.4521 SSIM_train: 0.6091
[epoch 1][178/2188] loss: 0.0000 PSNR_train: 23.8926 SSIM_train: 0.6133
[epoch 1][179/2188] loss: 0.0000 PSNR_train: 24.2187 SSIM_train: 0.6132
[epoch 1][180/2188] loss: 0.0000 PSNR_train: 24.1712 SSIM_train: 0.5932
[epoch 1][181/2188] loss: 0.0000 PSNR_train: 24.1680 SSIM_train: 0.6054
[epoch 1][182/2188] loss: 0.0000 PSNR_train: 24.2488 SSIM_train: 0.5997
[epoch 1][183/2188] loss: 0.0000 PSNR_train: 24.1943 SSIM_train: 0.6232
[epoch 1][184/2188] loss: 0.0000 PSNR_train: 23.3468 SSIM_train: 0.5804
[epoch 1][185/2188] loss: 0.0000 PSNR_train: 24.4291 SSIM_train: 0.6047
[epoch 1][186/2188] loss: 0.0000 PSNR_train: 24.0743 SSIM_train: 0.6033
[epoch 1][187/2188] loss: 0.0000 PSNR_train: 24.2209 SSIM_train: 0.6272
[epoch 1][188/2188] loss: 0.0000 PSNR_train: 23.9609 SSIM_train: 0.5857
[epoch 1][189/2188] loss: 0.0000 PSNR_train: 24.1178 SSIM_train: 0.6011
[epoch 1][190/2188] loss: 0.0000 PSNR_train: 24.7955 SSIM_train: 0.6176
[epoch 1][191/2188] loss: 0.0000 PSNR_train: 24.4565 SSIM_train: 0.6014
[epoch 1][192/2188] loss: 0.0000 PSNR_train: 24.3670 SSIM_train: 0.5989
[epoch 1][193/2188] loss: 0.0000 PSNR_train: 24.6114 SSIM_train: 0.6144
[epoch 1][194/2188] loss: 0.0000 PSNR_train: 24.4976 SSIM_train: 0.6373
[epoch 1][195/2188] loss: 0.0000 PSNR_train: 24.1139 SSIM_train: 0.6083
[epoch 1][196/2188] loss: 0.0000 PSNR_train: 23.6182 SSIM_train: 0.5709
[epoch 1][197/2188] loss: 0.0000 PSNR_train: 23.7648 SSIM_train: 0.5899
[epoch 1][198/2188] loss: 0.0000 PSNR_train: 24.0687 SSIM_train: 0.6020
[epoch 1][199/2188] loss: 0.0000 PSNR_train: 23.9204 SSIM_train: 0.6003
[epoch 1][200/2188] loss: 0.0000 PSNR_train: 24.2889 SSIM_train: 0.6259
[epoch 1][201/2188] loss: 0.0000 PSNR_train: 24.0009 SSIM_train: 0.6215
[epoch 1][202/2188] loss: 0.0000 PSNR_train: 24.3595 SSIM_train: 0.5981
[epoch 1][203/2188] loss: 0.0000 PSNR_train: 24.5814 SSIM_train: 0.6220
[epoch 1][204/2188] loss: 0.0000 PSNR_train: 24.1841 SSIM_train: 0.6024
[epoch 1][205/2188] loss: 0.0000 PSNR_train: 24.3491 SSIM_train: 0.6108
[epoch 1][206/2188] loss: 0.0000 PSNR_train: 24.0443 SSIM_train: 0.6315
[epoch 1][207/2188] loss: 0.0000 PSNR_train: 24.8576 SSIM_train: 0.6063
[epoch 1][208/2188] loss: 0.0000 PSNR_train: 24.5287 SSIM_train: 0.6240
[epoch 1][209/2188] loss: 0.0000 PSNR_train: 24.3231 SSIM_train: 0.6224
[epoch 1][210/2188] loss: 0.0000 PSNR_train: 24.6643 SSIM_train: 0.6317
[epoch 1][211/2188] loss: 0.0000 PSNR_train: 24.1381 SSIM_train: 0.6173
[epoch 1][212/2188] loss: 0.0000 PSNR_train: 24.1584 SSIM_train: 0.6139
[epoch 1][213/2188] loss: 0.0000 PSNR_train: 24.5351 SSIM_train: 0.6529
[epoch 1][214/2188] loss: 0.0000 PSNR_train: 24.4941 SSIM_train: 0.6167
[epoch 1][215/2188] loss: 0.0000 PSNR_train: 24.7504 SSIM_train: 0.6185
[epoch 1][216/2188] loss: 0.0000 PSNR_train: 25.1119 SSIM_train: 0.6476
